label,n,m00,m01,m10,m11,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,sum_global_twice,global_twice_score_t,global_twice_score_lambda,sum_epsilon_sign,epsilon_sign_score_t,epsilon_sign_score_lambda,sum_local_twice,local_twice_score_t,local_twice_score_lambda
N340_18_4,340,18,-4,4,18,4,26,15500005200,15500005400,200,88,384,264032,288992,-1664,23,2624,1544,-32,1656,-88,2,-64,72
N340_18_4,340,18,-4,4,18,8,26,15500005200,15500005400,200,88,384,264032,288992,-1664,23,2624,1544,-32,1656,-88,0,-4,-172
N260_16_2,260,16,-2,2,16,2,27,15500005400,15500005600,200,196,68,200880,214064,13488,-2,2404,1748,58,968,-536,-1,-4,4
N260_16_2,260,16,-2,2,16,4,27,15500005400,15500005600,200,196,68,200880,214064,13488,-2,2404,1748,58,968,-536,-7,-60,84
N260_16_2,260,16,-2,2,16,8,27,15500005400,15500005600,200,196,68,200880,214064,13488,-2,2404,1748,58,968,-536,1,4,36
N340_18_4,340,18,-4,4,18,2,27,15500005400,15500005600,200,436,-68,257616,241168,12048,-3,2628,1900,58,1384,-24,-1,-12,12
N340_18_4,340,18,-4,4,18,4,27,15500005400,15500005600,200,436,-68,257616,241168,12048,-3,2628,1900,58,1384,-24,2,-20,12
N340_18_4,340,18,-4,4,18,8,27,15500005400,15500005600,200,436,-68,257616,241168,12048,-3,2628,1900,58,1384,-24,-3,-64,-24
N260_16_2,260,16,-2,2,16,2,28,15500005600,15500005800,200,372,28,235824,216624,-17008,4,3036,1276,30,984,-424,-2,-44,44
N260_16_2,260,16,-2,2,16,4,28,15500005600,15500005800,200,372,28,235824,216624,-17008,4,3036,1276,30,984,-424,0,212,-4
N260_16_2,260,16,-2,2,16,8,28,15500005600,15500005800,200,372,28,235824,216624,-17008,4,3036,1276,30,984,-424,1,-16,56
N340_18_4,340,18,-4,4,18,2,28,15500005600,15500005800,200,364,948,334288,291088,-62512,27,3312,752,30,800,544,2,-4,52
N340_18_4,340,18,-4,4,18,4,28,15500005600,15500005800,200,364,948,334288,291088,-62512,27,3312,752,30,800,544,1,92,-84
N340_18_4,340,18,-4,4,18,8,28,15500005600,15500005800,200,364,948,334288,291088,-62512,27,3312,752,30,800,544,-5,-160,24
N260_16_2,260,16,-2,2,16,2,29,15500005800,15500006000,200,256,912,214976,184768,-7808,5,2208,1456,-10,624,-336,2,52,-20
N260_16_2,260,16,-2,2,16,4,29,15500005800,15500006000,200,256,912,214976,184768,-7808,5,2208,1456,-10,624,-336,1,12,188
N260_16_2,260,16,-2,2,16,8,29,15500005800,15500006000,200,256,912,214976,184768,-7808,5,2208,1456,-10,624,-336,0,64,48
N340_18_4,340,18,-4,4,18,2,29,15500005800,15500006000,200,284,508,292304,234000,-15504,10,2540,1324,-10,368,-624,5,80,104
N340_18_4,340,18,-4,4,18,4,29,15500005800,15500006000,200,284,508,292304,234000,-15504,10,2540,1324,-10,368,-624,3,232,40
N340_18_4,340,18,-4,4,18,8,29,15500005800,15500006000,200,284,508,292304,234000,-15504,10,2540,1324,-10,368,-624,5,128,16
