N,batch_deleted,first_primary,first_iota_pair,first_smith_site_pair,second_primary,second_iota_pair,second_smith_site_pair
425,61,-0.0695588953975717,-0.0695588953975717,-0.0694352686556461,-0.0668184220717435,-0.0668184220717435,-0.06673798742882714
425,62,-0.07012524638239347,-0.07012524638239347,-0.07000266690149952,-0.06624651424134466,-0.06624651424134466,-0.06617508331093166
425,63,-0.06862106983957014,-0.06862106983957014,-0.0684979761222175,-0.06702453861130361,-0.06702453861130361,-0.06694043669392039
425,64,-0.06846931236441658,-0.06846931236441658,-0.06834863280906704,-0.0669125759921278,-0.0669125759921278,-0.06683240452144654
425,65,-0.06910798589353134,-0.06910798589353134,-0.06897127745302939,-0.06665293410891865,-0.06665293410891865,-0.06657604459013985
425,66,-0.06788430936388008,-0.06788430936388008,-0.06775712846379707,-0.06713298002225045,-0.06713298002225045,-0.06705676054851255
425,67,-0.0690891981028656,-0.0690891981028656,-0.06897601733284325,-0.06678723289044534,-0.06678723289044534,-0.06670543541173056
425,68,-0.0686501995949324,-0.0686501995949324,-0.06854517543026403,-0.06612224940609238,-0.06612224940609238,-0.06603083460023254
425,69,-0.07091416928923092,-0.07091416928923092,-0.07079008214913916,-0.0675065799033205,-0.0675065799033205,-0.06742893525409183
425,70,-0.0708353757385431,-0.0708353757385431,-0.07071628179568099,-0.06528872576746163,-0.06528872576746163,-0.06521043520789133
425,71,-0.07028514415281778,-0.07028514415281778,-0.07017004278396767,-0.06537972049511821,-0.06537972049511821,-0.06530081367898471
425,72,-0.0701033103811098,-0.0701033103811098,-0.06998370056627809,-0.06623396003524028,-0.06623396003524028,-0.06616232080717213
425,73,-0.07038656254360053,-0.07038656254360053,-0.07027084904924753,-0.06709568271503907,-0.06709568271503907,-0.06700909990498226
425,74,-0.07038907824556549,-0.07038907824556549,-0.07026946162046455,-0.06679913357524087,-0.06679913357524087,-0.0667206475370456
425,75,-0.06851221057424094,-0.06851221057424094,-0.06839021887982571,-0.06716139468385444,-0.06716139468385444,-0.06708691916642831
425,76,-0.06983681064814161,-0.06983681064814161,-0.0697168719696135,-0.06725640765300694,-0.06725640765300694,-0.06718161779392007
425,77,-0.06992287466748622,-0.06992287466748622,-0.06979783563006406,-0.0680664605867745,-0.0680664605867745,-0.06799293282555201
425,78,-0.0686889342238136,-0.0686889342238136,-0.06856297565423936,-0.06704855408590481,-0.06704855408590481,-0.06697048940303511
425,79,-0.06975749626276039,-0.06975749626276039,-0.06963032004347103,-0.06674452087734399,-0.06674452087734399,-0.06667628082022914
425,80,-0.06928912938758268,-0.06928912938758268,-0.0691625765328719,-0.06689180946088893,-0.06689180946088893,-0.06680564360685369
425,81,-0.07064539129695949,-0.07064539129695949,-0.07052350063935053,-0.0669811632388067,-0.0669811632388067,-0.06689241658420123
425,82,-0.06951619996062204,-0.06951619996062204,-0.06939602027225593,-0.06490092926205288,-0.06490092926205288,-0.06483002725201466
