partition,components,shared,activation16
01021102,3,3,-18
01021103,4,2,8
01021110,3,2,0
01021111,3,1,0
01021112,3,2,0
01021113,4,1,0
01021120,3,3,-18
01021121,3,2,0
01021122,3,2,-6
01021123,4,2,12
01021130,4,2,8
01021131,4,1,0
01021132,4,2,12
01021133,4,1,0
01021134,5,1,0
01021200,3,3,-16
01021201,3,3,-18
01021202,3,3,-36
01021203,4,3,20
01021210,3,3,-36
01021211,3,2,0
01021212,3,2,-12
01021213,4,2,24
01021220,3,3,-18
01021221,3,2,-6
01021222,3,2,0
01021223,4,2,12
01021230,4,3,20
01021231,4,2,12
01021232,4,2,24
01021233,4,2,18
01021234,5,2,12
01021300,4,2,8
01021301,4,2,8
01021302,4,3,20
01021303,4,2,24
01021304,5,2,0
01021310,4,2,16
01021311,4,1,0
01021312,4,2,24
01021313,4,1,0
01021314,5,1,0
01021320,4,3,16
01021321,4,2,12
01021322,4,2,12
01021323,4,2,36
01021324,5,2,0
01021330,4,2,12
01021331,4,1,0
01021332,4,2,18
01021333,4,1,0
01021334,5,1,0
01021340,5,2,8
01021341,5,1,0
01021342,5,2,12
01021343,5,1,0
01021344,5,1,0
01021345,6,1,0
01022000,3,2,0
01022001,3,3,-16
01022002,3,2,-4
01022003,4,2,8
01022010,3,3,-32
01022011,3,3,-18
01022012,3,3,-18
01022013,4,3,16
01022020,3,2,-8
01022021,3,3,-36
01022022,3,2,0
01022023,4,2,16
01022030,4,2,16
01022031,4,3,20
01022032,4,2,8
01022033,4,2,12
01022034,5,2,8
01022100,3,3,-16
01022101,3,3,-36
01022102,3,3,-18
01022103,4,3,20
01022110,3,3,-18
01022111,3,2,0
01022112,3,2,-6
01022113,4,2,12
01022120,3,3,-36
01022121,3,2,-12
01022122,3,2,0
01022123,4,2,24
01022130,4,3,20
01022131,4,2,24
01022132,4,2,12
01022133,4,2,18
01022134,5,2,12
01022200,3,2,-4
01022201,3,3,-18
01022202,3,2,0
01022203,4,2,8
01022210,3,3,-18
01022211,3,2,-6
