N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.124,20000,20,-7.22418125597515e-95,-1.9354035161487094e-96,-7.417721607590023e-95,7.03064090436028e-95,1.9727356583875088e-95,1.4165589965733688e-96,2.0478142255179527e-95,1.905245821758694e-95
325,0.125,20000,20,-2.988254195901302e-94,-8.03814993341137e-96,-3.0686356952354144e-94,2.9078726965671886e-94,8.149492961001361e-95,5.860217991382437e-96,8.460053838274283e-95,7.870375035184315e-95
325,0.126,20000,20,-1.2205483091654227e-93,-3.2964795155474997e-95,-1.2535131043208983e-93,1.1875835140099478e-93,3.324294292939301e-94,2.3938895367322858e-95,3.4511431937036045e-94,3.2103099369021114e-94
325,0.127,20000,20,-4.9236421137972376e-93,-1.3351802702031916e-94,-5.057160140817558e-93,4.790124086776921e-93,1.339248140605982e-93,9.658089125066088e-95,1.390418845878934e-93,1.2932758152719773e-93
325,0.128,20000,20,-1.961984496944559e-92,-5.3420531523489e-94,-2.015405028468048e-92,1.9085639654210707e-92,5.329652193030782e-93,3.8490947153925646e-94,5.533560232684639e-93,5.146494608096667e-93
325,0.129,20000,20,-7.724383380453358e-92,-2.111722517296963e-93,-7.935555632183056e-92,7.513211128723663e-92,2.095532853285285e-92,1.5156113180419622e-93,2.1758128071707292e-92,2.023436695302155e-92
325,0.13,20000,20,-3.0051828267570734e-91,-8.249080160788396e-93,-3.0876736283649575e-91,2.922692025149189e-91,8.141933221459357e-92,5.897373117204668e-93,8.45426729840845e-92,7.861494629276239e-92
325,0.131,20000,20,-1.155565696077382e-90,-3.1848726259343754e-92,-1.1874144223367259e-90,1.1237169698180388e-90,3.126625646830886e-91,2.268029670416708e-92,3.246727291205854e-91,3.01881051725646e-91
325,0.132,20000,20,-4.392493275575074e-90,-1.2155492158201294e-91,-4.514048197157085e-90,4.270938353993061e-90,1.1869039497261108e-90,8.622521250069979e-92,1.2325572230236791e-90,1.14592942115325e-90
325,0.133,20000,20,-1.6508006146909607e-89,-4.586921418739739e-91,-1.696669828878358e-89,1.6049314005035637e-89,4.4547252999409e-90,3.241078575706731e-91,4.626303696306572e-90,4.300762829090361e-90
325,0.134,20000,20,-6.1350463306672184e-89,-1.7116343327479928e-90,-6.306209763942019e-89,5.963882897392421e-89,1.653349227266932e-89,1.204723124306007e-90,1.717115885584482e-89,1.5961414493103353e-89
325,0.135,20000,20,-2.2550273373301128e-88,-6.317025843512794e-90,-2.3181975957652414e-88,2.1918570788949852e-88,6.069006541178059e-89,4.428925375778489e-90,6.303394941393528e-89,5.8587712539595644e-89
325,0.136,20000,20,-8.199095961200328e-88,-2.306193561860326e-89,-8.42971531738636e-88,7.968476605014296e-88,2.2036844335606652e-88,1.6106173076989206e-89,2.2889079457309507e-88,2.127259350347786e-88
325,0.137,20000,20,-2.9493631196612242e-87,-8.329678242611467e-89,-3.032659902087338e-87,2.866066337235109e-87,7.916403277865181e-88,5.794782843046943e-89,8.222974596620865e-88,7.641541772631914e-88
325,0.138,20000,20,-1.0497963939234632e-86,-2.976984068122163e-88,-1.0795662346046852e-86,1.020026553242242e-86,2.8139706012544876e-87,2.0629999173375824e-88,2.92309423883807e-87,2.716155469316783e-87
325,0.139,20000,20,-3.697953602010255e-86,-1.0529448173645544e-87,-3.8032480837467105e-86,3.5926591202737986e-86,9.898954556027746e-87,7.268478152637405e-88,1.0283357194695153e-86,9.554464030181063e-87
