# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
1	landing	12	25	0	0	0	0	0	0	0	0
1	global	-	26	1647	-1596	-1578	318592	336896	0	0	0
1	landing	01	26	0	0	0	0	0	1	700	7
1	landing	12	26	0	0	0	0	0	1	320	1
1	global	-	27	3136	-3036	-2969	620288	649536	0	0	0
1	landing	01	27	0	0	0	0	0	10	3820	30
1	landing	12	27	0	0	0	0	0	0	0	0
1	global	-	28	6110	-5793	-5640	1261696	1315584	0	0	0
1	landing	01	28	0	0	0	0	0	43	18252	67
1	landing	12	28	0	0	0	0	0	0	0	0
1	global	-	29	10599	-9782	-9439	2226816	2304192	0	0	0
1	landing	01	29	0	0	0	0	0	68	29628	144
1	landing	12	29	0	0	0	0	0	-3	-1320	9
1	global	-	30	17770	-15775	-14959	3811776	3901184	0	0	0
1	landing	01	30	0	0	0	0	0	89	41188	297
1	landing	12	30	0	0	0	0	0	16	6040	32
1	global	-	31	27470	-23143	-21423	6056640	6119872	0	0	0
1	landing	01	31	0	0	0	0	0	159	79572	663
1	landing	12	31	0	0	0	0	0	21	8980	73
1	global	-	32	39806	-31264	-28029	8975232	8975296	0	0	0
1	landing	01	32	0	0	0	0	0	217	110578	1127
1	landing	12	32	0	0	0	0	0	63	23092	173
1	global	-	33	54421	-37812	-32199	12127744	11952192	0	0	0
1	landing	01	33	0	0	0	0	0	254	147160	1812
1	landing	12	33	0	0	0	0	0	80	35720	374
1	global	-	34	69896	-41544	-32885	15288000	14761536	0	0	0
1	landing	01	34	0	0	0	0	0	352	202156	2528
1	landing	12	34	0	0	0	0	0	206	84692	754
1	global	-	35	84661	-39969	-27798	17711872	16528768	0	0	0
1	landing	01	35	0	0	0	0	0	293	189204	3251
1	landing	12	35	0	0	0	0	0	321	129384	1471
1	global	-	36	95754	-31436	-16202	18563776	17085888	0	0	0
1	landing	01	36	0	0	0	0	0	202	127524	3560
1	landing	12	36	0	0	0	0	0	325	146266	2191
1	global	-	37	100832	-17057	-105	17920896	16137728	0	0	0
1	landing	01	37	0	0	0	0	0	118	102438	3408
1	landing	12	37	0	0	0	0	0	357	149564	2991
1	global	-	38	100832	96	17531	16197760	14246912	0	0	0
1	landing	01	38	0	0	0	0	0	-21	25680	2931
1	landing	12	38	0	0	0	0	0	324	153216	3538
1	global	-	39	94408	16093	31710	13617856	11868288	0	0	0
1	landing	01	39	0	0	0	0	0	-150	-10002	2162
1	landing	12	39	0	0	0	0	0	161	96864	3545
1	global	-	40	81920	27599	39915	10306560	8873728	0	0	0
1	landing	01	40	0	0	0	0	0	-140	-18538	1220
1	landing	12	40	0	0	0	0	0	94	79998	3202
1	global	-	41	67032	32591	41395	7153088	6054464	0	0	0
1	landing	01	41	0	0	0	0	0	-179	-24514	713
1	landing	12	41	0	0	0	0	0	-121	17776	2515
1	global	-	42	50921	31500	36938	4790144	4047616	0	0	0
1	landing	01	42	0	0	0	0	0	-52	-6308	300
1	landing	12	42	0	0	0	0	0	-159	-5236	1657
1	global	-	43	36411	26624	29728	2865600	2437760	0	0	0
1	landing	01	43	0	0	0	0	0	-31	-2720	93
1	landing	12	43	0	0	0	0	0	-94	556	956
1	global	-	44	23978	19425	20926	1555520	1271616	0	0	0
1	landing	01	44	0	0	0	0	0	-4	-1288	32
1	landing	12	44	0	0	0	0	0	-49	3528	481
1	global	-	45	14638	12794	13470	785408	648704	0	0	0
1	landing	01	45	0	0	0	0	0	-11	-888	13
1	landing	12	45	0	0	0	0	0	-52	-1988	242
1	global	-	46	8311	7678	7935	373248	293760	0	0	0
1	landing	01	46	0	0	0	0	0	0	0	0
1	landing	12	46	0	0	0	0	0	-13	920	83
1	global	-	47	4384	4168	4268	163648	126656	0	0	0
1	landing	01	47	0	0	0	0	0	0	0	0
1	landing	12	47	0	0	0	0	0	-2	1648	40
1	global	-	48	2155	2101	2124	76928	68736	0	0	0
