design,batch,samples,point,category,count
pell_Dminus2_N30,18,5000,minus,"rank1:1,1",3
pell_Dminus2_N30,18,5000,minus,rank2,1328
pell_Dminus2_N30,18,5000,center,rank0,1614
pell_Dminus2_N30,18,5000,center,"rank1:0,1",666
pell_Dminus2_N30,18,5000,center,"rank1:1,-2",6
pell_Dminus2_N30,18,5000,center,"rank1:1,-1",607
pell_Dminus2_N30,18,5000,center,"rank1:1,0",594
pell_Dminus2_N30,18,5000,center,"rank1:1,1",3
pell_Dminus2_N30,18,5000,center,"rank1:2,-1",1
pell_Dminus2_N30,18,5000,center,rank2,1509
pell_Dminus2_N30,18,5000,plus,rank0,1405
pell_Dminus2_N30,18,5000,plus,"rank1:0,1",671
pell_Dminus2_N30,18,5000,plus,"rank1:1,-2",9
pell_Dminus2_N30,18,5000,plus,"rank1:1,-1",611
pell_Dminus2_N30,18,5000,plus,"rank1:1,0",601
pell_Dminus2_N30,18,5000,plus,"rank1:1,1",3
pell_Dminus2_N30,18,5000,plus,"rank1:2,-1",2
pell_Dminus2_N30,18,5000,plus,rank2,1698
pell_Dminus2_N30,19,5000,minus,rank0,1823
pell_Dminus2_N30,19,5000,minus,"rank1:0,1",572
pell_Dminus2_N30,19,5000,minus,"rank1:1,-2",7
pell_Dminus2_N30,19,5000,minus,"rank1:1,-1",654
pell_Dminus2_N30,19,5000,minus,"rank1:1,0",571
pell_Dminus2_N30,19,5000,minus,"rank1:1,1",6
pell_Dminus2_N30,19,5000,minus,"rank1:2,-1",2
pell_Dminus2_N30,19,5000,minus,rank2,1365
pell_Dminus2_N30,19,5000,center,rank0,1620
pell_Dminus2_N30,19,5000,center,"rank1:0,1",589
