batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
86,172000,2000,5146.325725023091,1487.6918187459385,3081.2425859919213,14147.361029477075,5146.325725023091,-1487.6918187459385,0.0,0.0
87,174000,2000,-8565.083139031147,-2129.2032085330834,-12867.874125640152,-2031.6549479768687,-8565.083139031147,2129.2032085330834,0.0,0.0
88,176000,2000,2342.6662780622846,1684.8214969171092,4945.464678679371,-12331.317502857319,2342.6662780622846,-1684.8214969171092,0.0,0.0
89,178000,2000,2474.131539648212,-4353.921520563692,2107.9720926874297,-996.9574323564976,2474.131539648212,4353.921520563692,0.0,0.0
90,180000,2000,-6204.3052317185875,2208.749689178158,3976.0614799135255,-1880.3979813043693,-6204.3052317185875,-2208.749689178158,0.0,0.0
91,182000,2000,-3909.4640957728407,3023.2895060491965,13383.610463437155,4629.821082487978,-3909.4640957728407,-3023.2895060491965,0.0,0.0
92,184000,2000,-398.92369207036404,-1019.5054896598701,1185.9857548904247,5313.61883293116,-398.92369207036404,1019.5054896598701,0.0,0.0
93,186000,2000,298.4931688985075,-519.3819148688956,1489.006831101504,-154.54668389795665,298.4931688985075,519.3819148688956,0.0,0.0
94,188000,2000,343.1116292502771,-7929.01015046146,-2242.235754890429,-5254.587252530715,343.1116292502771,7929.01015046146,0.0,0.0
95,190000,2000,-231.89578475778387,-6770.926599756115,-6774.124125640164,-4292.856783104545,-231.89578475778387,6770.926599756115,0.0,0.0
96,192000,2000,-2728.6668609688822,2115.2677427393555,6237.069476828139,-13711.591909370676,-2728.6668609688822,-2115.2677427393555,0.0,0.0
97,194000,2000,-4494.596218327588,-1451.9848925408014,1598.4931688984898,-4870.49368148192,-4494.596218327588,1451.9848925408014,0.0,0.0
98,196000,2000,-4865.944185374856,-3990.3428497595255,7467.6736920703415,-3012.6437574809192,-4865.944185374856,3990.3428497595255,0.0,0.0
99,198000,2000,3072.8473841407126,4490.466424550511,-1780.1736920703468,-1557.3691477146583,3072.8473841407126,-4490.466424550511,0.0,0.0
