key	g16
9021064	8
9025160	4
9029256	6
9049736	12
9057928	12
9176712	4
9179272	4
9179784	8
9180168	8
9180224	4
9180232	4
9180296	6
9180808	8
9183368	4
9183880	12
9184264	8
9184320	4
9184328	6
9184392	4
9184904	4
9189000	8
9193096	6
9207944	4
9208456	8
9208840	8
9208896	4
9208904	4
9208968	6
9209480	4
9216136	6
9216648	8
9217032	12
9217088	6
9217096	4
9217160	4
9217672	4
9240712	4
9241224	12
9241608	8
9241664	4
9241672	6
9241736	4
9242248	4
9244808	6
9245320	8
9245704	12
9245760	6
9245768	4
9245832	4
9246344	8
9250440	4
9254536	8
9258632	6
9275016	4
9283208	4
9307784	12
9315976	12
9442952	6
9451144	6
9471624	6
9479816	6
9508488	6
9516680	6
9537160	6
9545352	6
10536584	4
10602120	4
10765960	4
10831496	4
11060872	4
11126408	4
11290248	4
11355784	4
11540104	4
11548296	4
11568776	4
11576968	4
11605640	4
11613832	4
11634312	4
11642504	4
