observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,A,4,96,192,3,96 128 192,0.592706734772926555,12700.6404440744688,nan,nan,214532302.760,0.0000449812622324939649,0.0000614964504870331120,256,0.592777028564663633,0.592709691871215966,-0.0000673366934476672954,0.0000673366934476672954,0.000200693361194349411,-0.335520283515801631,ok
H,shared,torus_shared:wrapping_H,B,"4,6",96,192,3,96 128 192,0.592800795898263119,-74291.4678163705747,741129248.112368646,nan,1.64763996481e+13,0.0,0.0,256,0.592777028564663633,0.592786131588010970,9.10302334733714741e-6,9.10302334733714741e-6,0.000200693361194349411,0.0453578698027877072,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",96,192,3,96 128 192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,128,192,2,128 192,0.592777751346998600,-22870.5537293808548,nan,nan,669023751.877,0.0,0.0,256,0.592777028564663633,0.592772426381253068,-4.60218341056470673e-6,4.60218341056470673e-6,0.000200693361194349411,-0.0229314182750071095,ok
H,shared,torus_shared:wrapping_H,B,"4,6",128,192,2,128 192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",128,192,2,128 192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,192,192,1,192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",192,192,1,192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",192,192,1,192,,,,,,,,256,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,256,9,16 24 32 48 64 96 128 192 256,0.592766703219904303,-2.93089043260586597,nan,nan,211786.563238,0.0000729771273296119009,0.000145044319722681081,,,,,,,,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,256,9,16 24 32 48 64 96 128 192 256,0.592746545538598116,66.2275800717690729,-17710.7763060976454,nan,478256245.242,0.0000628830069835224090,0.000125621655933748992,,,,,,,,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,256,9,16 24 32 48 64 96 128 192 256,0.592770923234743795,-381.483870930549311,363823.590954631032,-68447456.4668981573,1.55165895740e+12,0.0000448141171460574239,0.000106037270616685040,,,,,,,,ok
H,shared,torus_shared:wrapping_H,A,4,24,256,8,24 32 48 64 96 128 192 256,0.592746473575135312,40.7728937459348938,nan,nan,1013101.29663,0.0000636805977027418985,0.000125970690561768904,,,,,,,,ok
