N,batch,geometry,a,b,K,count,sum_q,sum_E,occupation_seed,anchor_seed,anchors_per_configuration,window_displacements,source_denominator,sum_B16_total,sum_qB16_total,sum_EB16_total,eligible_pair_count_total,nonzero_pair_count_total,sum_B16_s2,sum_qB16_s2,sum_EB16_s2,eligible_pair_count_s2,nonzero_pair_count_s2,sum_B16_sge3,sum_qB16_sge3,sum_EB16_sge3,eligible_pair_count_sge3,nonzero_pair_count_sge3,s_le1_pair_count,s_le1_nonzero_g16_count,total_minus_s2_minus_sge3_B16
100,0,tilted,8,6,46,2,-2,2,2026090101001001,2026090101001002,16,28,25600,14,-14,14,275,8,14,-14,14,8,8,0,0,0,0,0,267,0,0
100,0,tilted,8,6,47,5,-5,5,2026090101001001,2026090101001002,16,28,25600,20,-20,20,670,5,20,-20,20,5,5,0,0,0,0,0,665,0,0
100,0,tilted,8,6,48,4,-4,4,2026090101001001,2026090101001002,16,28,25600,12,-12,12,452,3,12,-12,12,7,3,0,0,0,0,0,445,0,0
100,0,tilted,8,6,49,3,-3,3,2026090101001001,2026090101001002,16,28,25600,20,-20,20,342,4,20,-20,20,6,4,0,0,0,0,0,336,0,0
100,0,tilted,8,6,50,5,-3,3,2026090101001001,2026090101001002,16,28,25600,4,-4,4,514,1,4,-4,4,6,1,0,0,0,0,0,508,0,0
100,0,tilted,8,6,51,14,-10,10,2026090101001001,2026090101001002,16,28,25600,28,-20,20,1480,8,28,-20,20,16,8,0,0,0,0,0,1464,0,0
100,0,tilted,8,6,52,9,-5,7,2026090101001001,2026090101001002,16,28,25600,40,-36,36,909,10,40,-36,36,20,10,0,0,0,0,0,889,0,0
100,0,tilted,8,6,53,21,-13,15,2026090101001001,2026090101001002,16,28,25600,48,-40,40,2046,12,48,-40,40,27,12,0,0,0,0,0,2019,0,0
100,0,tilted,8,6,54,16,-10,10,2026090101001001,2026090101001002,16,28,25600,32,-20,20,1478,8,32,-20,20,32,8,0,0,0,0,0,1446,0,0
100,0,tilted,8,6,55,29,-18,20,2026090101001001,2026090101001002,16,28,25600,95,-71,71,2492,36,95,-71,71,81,36,0,0,0,0,0,2411,0,0
100,0,tilted,8,6,56,34,-15,21,2026090101001001,2026090101001002,16,28,25600,94,-62,78,3213,24,86,-54,70,66,23,8,-8,8,1,1,3146,0,0
100,0,tilted,8,6,57,40,-1,15,2026090101001001,2026090101001002,16,28,25600,181,-26,66,3396,47,181,-26,66,98,47,0,0,0,0,0,3298,0,0
100,0,tilted,8,6,58,30,-11,19,2026090101001001,2026090101001002,16,28,25600,86,-32,32,2138,26,86,-32,32,53,26,0,0,0,0,0,2085,0,0
100,0,tilted,8,6,59,42,3,15,2026090101001001,2026090101001002,16,28,25600,108,-28,28,3367,36,108,-28,28,81,36,0,0,0,0,0,3286,0,0
100,0,tilted,8,6,60,45,13,27,2026090101001001,2026090101001002,16,28,25600,69,2,30,3261,24,69,2,30,45,24,0,0,0,0,0,3216,0,0
100,0,tilted,8,6,61,35,10,22,2026090101001001,2026090101001002,16,28,25600,58,6,58,2245,14,58,6,58,23,14,0,0,0,0,0,2222,0,0
